command,level
echo,2
log,4
make,4
move,2
joinme,2
msg,2
leave,2
exit,4
privileges,3
setprivileges,4
addprivileges,4
blacklist,4
whitelist,4
version,1
status,1
refresh,4
about,1
spam_test,4
system_test,4
alias,4
aliases,1
removealias,4
clearaliases,4
sleep,2
history,2
reboot,4
uptime,1
setwhisperuser,4
setwhisperchannel,4
clearwhisper,4
setwhisperme,4
